,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Algeria,1280.384828,1085.4146119999998,855.9479859999999,1128.41578,1170.323896,1215.015783,1127.614288,1200.558225,1291.863983,1359.4910029999999,1436.129775,1235.663803,1527.646365,1538.306425,1603.34962,1632.296018,1714.0700530000001,1747.665127,1848.4375079999998,1923.29062,1876.0756390000001,1869.621279,1924.614086,1963.365104,2008.4721760000002,2020.08722,1969.7642170000001,1902.0610980000001,1833.152878,1864.712582,1832.743369,1766.6608390000001,1755.973698,1680.3798559999998,1630.381508,1660.004192,1698.333823,1690.2375379999999,1750.6509,1781.142464,1794.4052329999997,1814.41513,1871.9219859999998,1971.512803,2043.135713,2115.186028,2124.957754,2155.4852309999997,2173.787903,2192.7039760000002,2231.980246,2255.225482
10,Argentina,5251.876754,5448.303627,5316.578969,4956.216522,5375.463707,5855.611563,5733.311946,5833.052304999999,6028.124335,6515.364261,6611.234203,6872.758345,6867.510789,6940.168634999999,7200.908314,7081.660694,6830.307723999999,7193.565031,6767.812206999999,7349.623944,7540.685262999999,7004.458740000001,6556.347586,6707.056860000001,6751.820111,6146.155455,6531.926422,6623.374506,6360.588619,5800.056982,5581.9623409999995,6203.445662,6851.752586,7162.093421,7483.560918000001,7179.9388260000005,7484.004016,7994.115547,8205.47459,7839.514937999999,7695.594073,7283.062916,6428.393836,6933.155594,7492.249508,8107.975365,8717.176296,9388.688523,9935.834245999999,9933.229024,10749.31922,11601.630220000001
13,Australia,9407.685082,9451.546304000001,9351.023272,9749.128563,10231.144470000001,10633.0944,10635.677909999999,11165.70646,11533.02832,12091.75533,12708.91935,12777.83407,13034.08135,13176.58538,13375.9812,13375.55956,13590.0944,13918.040430000001,13879.18525,14297.381430000001,14555.9477,14814.073069999999,15040.848219999998,14510.1437,15027.66949,15574.44144,16024.03402,16195.468209999999,16832.69865,17199.91102,17553.37684,17270.3287,17137.5585,17669.3199,18191.164569999997,18690.43658,19183.14039,19709.6605,20387.77284,21154.75805,21708.03726,21824.086069999998,22402.991019999998,22825.57102,23498.26199,23929.1644,24295.08138,24765.5489,25190.72063,25007.69776,25190.83986,25306.824940000002
14,Austria,7434.183717,7802.972545999999,7960.70727,8237.060529,8683.454516,8927.460698,9365.306134,9575.183558,9951.607179999999,10539.697,11085.10449,11600.22295,12248.95167,12776.99245,13258.09388,13244.96435,13875.870980000002,14575.166009999999,14556.243030000001,15362.14184,15628.118530000002,15565.82167,15867.50615,16365.68683,16375.10914,16776.39194,17151.57949,17373.35717,17920.573940000002,18533.4758,19192.07172,19655.36566,19847.22018,19787.9258,20185.41806,20692.25631,21174.05212,21638.4083,22432.91072,23181.69316,23974.18307,24087.35538,24375.11384,24466.7063,24945.047769999997,25370.46587,26171.69091,27036.48733,27305.92329,26183.9976,26642.99386,27266.40335
16,Bahamas,11926.46097,12558.29581,13186.10406,13858.51689,14584.42775,15374.335830000002,16045.5276,16866.147,17592.5456,18516.80315,16944.177059999998,16773.32431,15825.016109999999,16681.08272,13616.133880000001,11368.411979999999,11708.975690000001,12508.23765,13971.07784,17236.66283,17954.41744,15939.86648,16632.42252,16855.9741,18841.51612,19359.4995,19341.590509999998,19571.05278,19685.36145,20653.8658,19970.50833,18789.34949,17736.281590000002,17466.21081,17707.13476,18195.24765,18702.81496,18853.24266,19514.56795,20665.69366,21258.29243,21530.3738,21809.34718,21228.07569,21106.720080000003,21507.71526,21728.708880000002,21721.61841,20911.599430000002,19619.12136,19395.152309999998,19466.99052
18,Bangladesh,254.82507909999998,262.7656347,269.5320729,260.9298963,281.2643859,277.2733108,275.38706410000003,261.36778680000003,277.1832628,272.977664,282.2545184,262.98157799999996,224.2091077,230.0809801,249.85177000000002,236.1923411,244.46651129999998,244.6789824,254.5800293,259.0515444,253.78228149999998,256.250629,255.3386127,258.5983764,264.82342459999995,266.086821,269.9559196000001,272.5475672,271.1057719,271.0917122,280.17368369999997,282.7790405,290.4082118,297.1685013,302.8187236,311.16657050000003,318.92046919999996,329.396045,339.8583201,349.6507414,363.6399273,375.99346010000005,385.8060432,399.39595660000003,417.9536838,436.68818339999996,459.86251389999995,483.970868,508.5557725,532.0769985000001,558.062385,588.3691778
21,Belgium,7454.716536,7799.889081,8173.818456,8465.979625,8969.632551,9205.035593,9431.614088,9742.06281,10110.80421,10750.64458,11360.197470000001,11791.48609,12367.39264,13115.30933,13670.97581,13363.53885,14093.74132,14164.4889,14553.444330000002,14880.769859999999,15524.959640000001,15482.00925,15578.35832,15628.179830000001,16013.871030000002,16273.53897,16564.26086,16931.900980000002,17675.34605,18222.22107,18737.95878,19010.66574,19223.50264,18964.369919999997,19516.103880000002,19939.71072,20184.3295,20887.6142,21245.09101,21946.74568,22697.0123,22801.776719999998,23008.449940000002,23097.21262,23750.45981,24033.7833,24512.41314,25034.66692,25082.37413,24190.59495,24550.39655,24733.626959999998
22,Belize,950.4240053999999,963.1137622000001,974.7707239,987.4708188,1003.121064,1021.893592,1042.512127,1067.775051,1122.141798,1157.371743,1193.0289070000001,1222.444067,1331.030169,1385.884945,1552.024006,1579.640919,1546.192084,1606.723937,1688.0988309999998,1765.4842609999998,1979.799676,1953.271048,1897.6620510000002,1820.56843,1798.958544,1772.0123030000002,1807.394307,1955.036382,2080.996636,2309.739636,2476.8175300000003,2666.273839,2912.125313,3004.324132,2923.5031510000003,2867.582161,2836.493237,2834.8938,2836.1323199999997,3026.777086,3329.6637309999996,3392.853836,3459.62445,3664.6516119999997,3713.233789,3705.052686,3754.1228619999997,3680.916429,3684.074728,3561.3459479999997,3542.364501,3490.2340689999996
23,Benin,256.9787667,261.6472216,249.2125313,257.2048648,270.1229417,279.8908938,285.0989908,283.21829019999996,288.8375829,291.5970238,291.9012234,281.6793946,293.4453711,297.66202089999996,300.65560919999996,279.29244439999997,275.03898480000004,281.68638439999995,278.09337539999996,288.7172336,300.29989869999997,321.458628,319.7920397,297.564224,312.4100267,326.807709,324.9290704,311.49283189999994,313.30092310000003,295.61374680000006,295.7832851,299.64818080000003,301.0323793,300.8931358,303.56893189999994,307.5482248,315.08362919999996,325.1775008,330.7403465,336.71468070000003,345.9503552,352.2484617,356.6052314,358.774753,358.2463984,357.2500703,360.6554107,366.0449665,373.5066867,376.6216226,377.04430069999995,378.0517915
26,Bolivia,894.7569722000001,893.3265411,922.3160646,959.8083684000001,983.4093688999999,1015.3871119999999,1056.8983779999999,1104.197533,947.5543564,954.1823888,927.0982228,950.8161381000001,1001.882651,1033.808585,1038.5649640000001,1087.833428,1110.981636,1138.685796,1134.997316,1110.593247,1071.001324,1050.716165,987.9825055,928.2277924000001,906.9457718,872.8099104,832.053422,834.0204578,839.410684,851.8226268999999,871.2260773,896.1970646,890.0104186000001,906.681968,927.4283663999998,949.1547026000001,968.9310379000001,995.2108348999999,1023.3774960000001,1006.5864849999999,1010.907367,1007.3793099999999,1012.1262119999999,1019.6102710000001,1042.414432,1069.018333,1101.0384609999999,1132.21388,1182.4646380000001,1202.780485,1232.688733,1276.128614
